angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.14,"(19, 19, 511, 511)",0.0,0.02,0.0,0.68,0.16,0.0
0.28,"(21, 22, 477, 477)",0.0,0.04,0.17,0.34,0.14,0.02
0.08,"(-13, 32, 537, 537)",0.0,0.08,0.0,0.16,0.68,0.0
0.06,"(-66, 46, 548, 548)",0.0,0.06,0.0,0.18,0.7,0.0
0.13,"(-72, 71, 531, 531)",0.0,0.08,0.0,0.05,0.74,0.0
0.12,"(-56, 94, 519, 519)",0.0,0.08,0.0,0.06,0.74,0.0
0.09,"(-56, 93, 522, 522)",0.0,0.06,0.0,0.06,0.79,0.0
0.1,"(-62, 80, 537, 537)",0.0,0.1,0.0,0.04,0.75,0.0
0.03,"(-50, 83, 525, 525)",0.0,0.04,0.0,0.03,0.89,0.0
0.24,"(-58, 81, 526, 526)",0.0,0.07,0.01,0.22,0.47,0.0
0.4,"(-36, 90, 504, 504)",0.0,0.08,0.01,0.2,0.31,0.0
0.32,"(-32, 81, 510, 510)",0.0,0.07,0.01,0.21,0.39,0.0
0.17,"(-28, 81, 502, 502)",0.0,0.07,0.01,0.51,0.24,0.0
0.01,"(-15, 81, 491, 491)",0.0,0.03,0.0,0.44,0.51,0.0
0.07,"(-5, 54, 503, 503)",0.0,0.06,0.0,0.74,0.13,0.0
0.21,"(4, 28, 502, 502)",0.0,0.06,0.01,0.6,0.11,0.01
0.18,"(3, 21, 508, 508)",0.0,0.13,0.01,0.49,0.06,0.14
0.14,"(3, 19, 527, 527)",0.0,0.02,0.0,0.79,0.02,0.03
0.21,"(17, 21, 493, 493)",0.0,0.04,0.0,0.62,0.06,0.08
